source,target,weight
"(121.53200000000001,31.199)","(121.536,31.194000000000003)",0.006403124237426248
"(121.529,31.175)","(121.53200000000001,31.179000000000002)",0.005000000000009663
"(121.488,31.314)","(121.444,31.34)",0.051107729356719804
"(121.331,31.265)","(121.34100000000001,31.253)",0.015620499351816933
"(121.428,31.244)","(121.406,31.241999999999997)",0.02209072203436614
"(121.45,31.344)","(121.43700000000001,31.34)",0.013601470508727252
"(121.385,31.134)","(121.381,31.136999999999997)",0.005000000000001848
"(121.344,31.28)","(121.351,31.285999999999998)",0.009219544457294521
"(121.355,31.351999999999997)","(121.36200000000001,31.355999999999998)",0.008062257748303556
"(121.40700000000001,31.316)","(121.41,31.305999999999997)",0.010440306508907997
"(121.542,31.291999999999998)","(121.525,31.281)",0.020248456731312734
"(121.30799999999999,31.206999999999997)","(121.315,31.195)",0.01389244398944965
"(121.436,31.193)","(121.45,31.194000000000003)",0.014035668847614091
"(121.486,31.21)","(121.47,31.203000000000003)",0.017464249196577034
"(121.456,31.184)","(121.45100000000001,31.18)",0.0064031242374301325
"(121.626,31.279)","(121.615,31.268)",0.015556349186110497
"(121.46600000000001,31.2)","(121.464,31.206999999999997)",0.00728010988928112
"(121.456,31.247)","(121.43700000000001,31.269000000000002)",0.02906888370749307
"(121.419,31.203000000000003)","(121.417,31.217)",0.014142135623726128
"(121.48299999999999,31.338)","(121.485,31.334)",0.004472135955005045
"(121.49,31.285999999999998)","(121.493,31.291999999999998)",0.006708203932499624
"(121.49,31.313000000000002)","(121.471,31.296999999999997)",0.024839484696745188
"(121.421,31.195999999999998)","(121.428,31.199)",0.0076157731058568885
"(121.446,31.338)","(121.45299999999999,31.335)",0.0076157731058554895
"(121.384,31.26)","(121.37700000000001,31.261)",0.00707106781185603
"(121.501,31.274)","(121.50299999999999,31.26)",0.014142135623727634
"(121.536,31.305999999999997)","(121.523,31.293000000000003)",0.018384776310850094
"(121.524,31.261999999999997)","(121.51700000000001,31.278000000000002)",0.017464249196574185
"(121.53200000000001,31.296)","(121.539,31.299)",0.0076157731058554895
